School,Program,Date_Added,Decision_Detail,Season,Status,GPA,GRE,Comment
University of Toronto,Planning,"May 01, 2025",Rejected on 1 May,Fall 2025,International,3.85,,
University of Toronto,Statistics,"April 30, 2025",Accepted on 9 Apr,Fall 2025,International,3.75,,"MSc in Statistics, Part-Time Admission. (Course-based)"
University of Toronto,Computer Science,"April 30, 2025",Rejected on 24 Apr,Fall 2025,International,3.94,,"Undergrad from UofT, Domestic applicant, 1 publication, various research experiences throughout undergrad"
University of Toronto,Computer Science,"April 25, 2025",Rejected on 24 Apr,Fall 2025,International,3.80,,"Canadian applicant, 3.8 gpa, 2 industry internships, 1 CV paper."
University of Toronto,History,"April 24, 2025",Wait listed on 24 Apr,Fall 2025,American,,,Ignore the waitlist. Have any American applicants received their decisions?
University of Toronto,Computer Science,"April 24, 2025",Rejected on 24 Apr,Fall 2025,International,3.90,,multiple research internships in CS-adjacent domains and strong LORs (imo). idk what uoft is doing
University of Toronto,Computer Science,"April 24, 2025",Rejected on 24 Apr,Fall 2025,International,3.90,,
University of Toronto,Computer Science,"April 24, 2025",Rejected on 24 Apr,Fall 2025,International,3.85,,"One co-author publication, graduate of a top 3 Canadian University. Not good enough for U of T I guess."
University of Toronto,Computer Science,"April 24, 2025",Rejected on 24 Apr,Fall 2025,International,,,
University of Toronto,Computer Science,"April 24, 2025",Rejected on 24 Apr,Fall 2025,International,3.94,,
University of Toronto,Counseling Psychology,"April 18, 2025",Rejected on 17 Apr,Fall 2025,International,3.79,,
University of Toronto,Urban Planning,"April 17, 2025",Rejected on 11 Apr,Fall 2025,International,,,
University of Toronto,Mathematics,"April 16, 2025",Rejected on 15 Apr,Fall 2025,International,3.66,,
University of Toronto,Mathematics,"April 16, 2025",Rejected on 15 Apr,Fall 2025,International,3.72,,Email notification
University of Toronto,Mathematics,"April 15, 2025",Rejected on 15 Apr,Fall 2025,International,3.90,,
University of Toronto,Mathematics,"April 15, 2025",Rejected on 15 Apr,Fall 2025,International,3.70,,"Domestic applicant.
Man"
University of Toronto,Mathematics,"April 15, 2025",Rejected on 15 Apr,Fall 2025,International,3.65,,"Canadian student, received an email to check the grad application site for an update. Good luck to everyone else!"
University of Toronto,Pure Mathematics,"April 15, 2025",Rejected on 15 Apr,Fall 2025,International,4.00,,"1 publication and undergrad thesis. Not really surprised I got rejected as I wasn't really a great fit for their faculty, only really applied there cause I wasn't sure about leaving Toronto."
University of Toronto,Mathematics,"April 15, 2025",Rejected on 15 Apr,Fall 2025,International,3.70,,
University of Toronto,Electrical And Computer Engineering,"April 09, 2025",Accepted on 8 Apr,Fall 2025,International,3.30,,"Domestic, received my acceptance via email on April 8th 2025. Last year GPA 3.75."
University of Toronto,Philosophy,"April 08, 2025",Accepted on 15 Apr,Fall 2025,International,3.88,,they're still making decisions!! don't give up hope!!!
University of Toronto,Linguistics,"April 08, 2025",Rejected on 8 Apr,Fall 2025,International,3.98,,
University of Toronto,Library And Information Science,"April 07, 2025",Accepted on 19 Mar,Fall 2025,International,3.70,,
University of Toronto,Institute of medical science,"April 07, 2025",Accepted on 7 Apr,Fall 2025,International,3.90,,
University of toronto,Masters of Teaching,"April 04, 2025",Accepted on 1 Apr,Fall 2025,International,3.70,,"Accepted to P/J. I initially checked ACORN at about 4pm and saw a deposit and that I was invited to the program. About 45 minutes later, I was notified via email that an update was made to my application and was directed to the admissions portal to see my acceptance package."
University of Toronto,Architecture,"March 26, 2025",Accepted on 17 Mar,Fall 2025,International,,,
University of Toronto,Mathematics,"March 26, 2025",Rejected on 26 Mar,Fall 2025,American,3.92,,Email saying decision posted to portal.
University of Toronto,Architecture,"March 25, 2025",Rejected on 25 Mar,Fall 2025,International,3.70,,Domestic student
University of Toronto,Architecture,"March 25, 2025",Rejected on 25 Mar,Fall 2025,International,3.20,,
University of Toronto,Architecture,"March 25, 2025",Rejected on 25 Mar,Fall 2025,International,3.50,,Domestic Student
University of Toronto,Architecture,"March 25, 2025",Rejected on 25 Mar,Fall 2025,International,3.54,,Undergrad from UofT
University of Toronto,Social Work,"March 25, 2025",Accepted on 25 Mar,Fall 2025,International,3.30,,"Domestic student. Not the strongest GPA, but 8 years of social service experience, and retook a stats course (which it seems they look heavily upon) and received a 90% in that. 
2-year Mental Health and Health stream."
University of Toronto,Biostatistics,"March 25, 2025",Accepted on 24 Mar,Fall 2025,International,4.00,,"Saw program on my ACORN earlier that day, then received the offer!"
University of Toronto,Public Health,"March 25, 2025",Accepted on 24 Mar,Fall 2025,International,3.90,,"I got my recommendation for admission to the MPH in Social and Behavioral Health Science (Health Promotion) through e-mail on the morning of March 24th. I intend to accept this offer! :) 

Congratulations to all other applicants who had success!"
University of Toronto,Biostatistics,"March 25, 2025",Accepted on 24 Mar,Fall 2025,American,,,
University of Toronto,Information,"March 25, 2025",Accepted on 24 Mar,Fall 2025,International,3.40,,
University of Toronto,Biostatistics,"March 24, 2025",Accepted on 24 Mar,Fall 2025,International,,,
University of Toronto,Public Health,"March 24, 2025",Accepted on 24 Mar,Fall 2025,International,3.95,,MPH: Epidemiology. International student doing undergrad at UofT. Got a Recommendation for Offer of Admission email from Dalla Lana School of Public Health this morning
University of Toronto,Information,"March 24, 2025",Accepted on 24 Mar,Fall 2025,International,,,"Domestic Student, UXD Concentration"
University of Toronto,Information,"March 24, 2025",Accepted on 20 Mar,Fall 2025,International,3.67,,UBC BMS grad
University of Toronto,Public Health,"March 24, 2025",Accepted on 24 Mar,Fall 2025,International,3.84,,
University of Toronto,Social Work,"March 24, 2025",Accepted on 24 Mar,Fall 2025,International,,,"Domestic student. I checked Acorn randomly today and I saw an update about an outstanding tuition deposit. I'm so pleased! I got into the 2-year MSW, Social Justice and Diversity stream."
University of Toronto,Architecture,"March 19, 2025",Accepted on 18 Mar,Fall 2025,International,,,Domestic student with undergraduate from UofT.
University of Toronto,Architecture,"March 19, 2025",Accepted on 18 Mar,Fall 2025,International,3.45,,Domestic student with undergraduate from UofT.
University of Toronto,Urban Innovation,"March 19, 2025",Accepted on 13 Mar,Fall 2025,International,3.70,,Domestic applicant.
University of Toronto,Architecture,"March 19, 2025",Accepted on 18 Mar,Fall 2025,International,,,
University of Toronto,Architecture,"March 19, 2025",Accepted on 18 Mar,Fall 2025,International,4.00,,
University of Toronto,Urban Innovation,"March 19, 2025",Accepted on 11 Mar,Fall 2025,International,3.58,,Canadian domestic student with $3000 scholarship
University of Toronto,Architecture,"March 18, 2025",Accepted on 18 Mar,Fall 2025,International,,,
University of Toronto,Geography,"March 18, 2025",Accepted on 18 Mar,Fall 2025,International,3.84,,Domestic
