School,Program,Date_Added,Decision_Detail,Season,Status,GPA,GRE,Comment
University of Pennsylvania,Electrical Engineering,"April 03, 2024",Accepted on 28 Mar,Fall 2024,International,3.60,,"2 years of Research Experience, 1 research paper published(in the area of Signal Processing+Neuroscience)"
University of Pennsylvania,Robotics,"April 03, 2024",Rejected on 29 Mar,Fall 2024,International,3.05,GRE 166 | GRE V 162 | GRE AW 6.00,Second Class (Division One) Honours from The University of Hong Kong in Computer Engineering. 2 years of full-time work experience in robotics companies as Robotics Software Engineer 2 years of part-time / internship experience in robotics / AI companies 2 part-time research assistant positions Several extra-curricular projects in robotics and AI
University of Pennsylvania,English,"April 02, 2024",Accepted on 1 Apr,Fall 2024,American,,,"PSA to check your junk mail bc I missed this email but just happened to check the portal today!! AHHHH so blessed, relieved, & grateful -- best of luck to everyone waiting on their decisions xx"
University of Pennsylvania,Computer and Information Science,"April 02, 2024",Rejected on 26 Mar,Fall 2024,International,,,I was looking for a chance to switch my career I really didn't have much credits in the area of study but I do have a bachelor's degree in CS from 10 years ago.
University of Pennsylvania,Robotics,"March 28, 2024",Rejected on 28 Mar,Fall 2024,International,3.50,,"Low cGPA but last 3 years is a 3.9/4.0. 2.5 years of research experience, 1 first author IEEE conference paper. Strong LORs (did research under all my LORs)"
University of Pennsylvania,Computer Science,"March 27, 2024",Accepted on 27 Mar,Fall 2024,International,3.20,GRE 160 | GRE V 169 | GRE AW 6.00,
University of Pennsylvania,Computer Science,"March 27, 2024",Accepted on 27 Mar,Fall 2024,American,3.98,,
University of Pennsylvania,Chemical And Biomolecular Engineering,"March 27, 2024",Accepted on 26 Mar,Fall 2024,American,3.48,,"One primary author on a patent, one research presentation at an Electrochemical Society conference, 5 years work experience"
University of Pennsylvania,Computer Science,"March 27, 2024",Rejected on 26 Mar,Fall 2024,International,3.50,,Didnt submit gre. No publications. 2 yoe.
University of Pennsylvania,Computer Science,"March 27, 2024",Rejected on 27 Mar,Fall 2024,International,3.80,,
University of Pennsylvania,Computer Science,"March 27, 2024",Rejected on 26 Mar,Fall 2024,International,3.78,GRE 169 | GRE V 158 | GRE AW 4.00,
University of Pennsylvania,English,"March 26, 2024",Interview on 26 Mar,Fall 2024,American,,,Has anyone heard from the masters program? Emailed and got no response
University of Pennsylvania,Computer Science,"March 26, 2024",Rejected on 26 Mar,Fall 2024,International,4.00,,"really Suprised that i got rejected . so in total, applied to 4 ivies and 2 ivy-level school got admitted into 2 ivies. i already accepted an offer from a more reputed(and sadly more expensive) ivy that upenn. is there anyway unis know if a candidate has accepted another uni's offer?"
University of Pennsylvania,Computer and Information Science,"March 26, 2024",Rejected on 26 Mar,Fall 2024,International,3.82,GRE 170 | GRE V 164 | GRE AW 6.00,got an email saying to check the portal. a bit disappointed but well..
